"Item Group Code","Item Group","Item Code","Item","Factor","HS Code","HS07 Code","HS12 Code","CPC Code"
"1882","Agricult.Products, Total","628","Feed, pulp of fruit","1","","230800","230800","39120.15"
"1882","Agricult.Products, Total","652","Feed, vegetable products nes","1","","230800","230800","39120.91"
"1882","Agricult.Products, Total","821","Fibre crops nes","1","","530500","530500","01929.90"
"1882","Agricult.Products, Total","569","Figs","1","","080420","080420","01315"
"1882","Agricult.Products, Total","570","Figs dried","1","","080420","080420","21419.02"
"1882","Agricult.Products, Total","773","Flax fibre and tow","1","","530121, 530129","530121, 530129","26190.01"
"1882","Agricult.Products, Total","771","Flax fibre raw","1","","530110","530110","01929.01"
"1882","Agricult.Products, Total","774","Flax tow waste","1","","530130","530130","26190.02"
"1882","Agricult.Products, Total","48","Flour, barley and grits","1","","110290, 110319, 110320","110290, 110319, 110320","23120.02"
"1882","Agricult.Products, Total","90","Flour, buckwheat","1","","110290, 110319, 110320","110290, 110319, 110320","23120.07"
"1882","Agricult.Products, Total","126","Flour, cassava","1","","110620","110620","23170.01"
"1882","Agricult.Products, Total","111","Flour, cereals","1","","110290, 110319, 110320","110290, 110319, 110320","23120.90"
"1882","Agricult.Products, Total","95","Flour, fonio","1","","110290, 110319, 110320","110290, 110319, 110320","23120.08"
"1882","Agricult.Products, Total","624","Flour, fruit","1","","110630","110630","23170.04"
"1882","Agricult.Products, Total","58","Flour, maize","1","","110220, 110313, 110320","110220, 110313, 110320","23120.03"
"1882","Agricult.Products, Total","80","Flour, millet","1","","110290, 110319, 110320","110290, 110319, 110320","23120.05"
"1882","Agricult.Products, Total","104","Flour, mixed grain","1","","110290, 110319, 110320","110290, 110319, 110320","23120.10"
"1882","Agricult.Products, Total","295","Flour, mustard","1","","210330","210330","23995.03"
"1882","Agricult.Products, Total","343","Flour, oilseeds","1","","120810, 120890","120810, 120890","21920"
"1882","Agricult.Products, Total","117","Flour, potatoes","1","","110510, 110520","110510, 110520","21392"
"1882","Agricult.Products, Total","212","Flour, pulses","1","","110610","110610","23170.03"
"1882","Agricult.Products, Total","38","Flour, rice","1","","110290, 110319, 110320","110290, 110319, 110320","23120.01"
"1882","Agricult.Products, Total","150","Flour, roots and tubers nes","1","","110620","110620","23170.02"
"1882","Agricult.Products, Total","72","Flour, rye","1","","110210, 110319, 110320","110290, 110319, 110320","23120.04"
"1882","Agricult.Products, Total","84","Flour, sorghum","1","","110290, 110319, 110320","110290, 110319, 110320","23120.06"
"1882","Agricult.Products, Total","16","Flour, wheat","1","","110100, 110311, 110320","110100, 110311, 110320","23110"
"1882","Agricult.Products, Total","94","Fonio","1","","100890","100840","01193"
"1882","Agricult.Products, Total","1232","Food prep nes","1","","041000, 190220, 190230, 190240, 210210, 210220, 210230, 210320, 210390, 210410, 210420, 210610, 210690, 220900","041000, 190220, 190230, 190240, 210210, 210220, 210230, 210320, 210390, 210410, 210420, 210610, 210690, 220900","F1232"
"1882","Agricult.Products, Total","115","Food preparations, flour, malt extract","1","","190190","190190","23999.02"
"1882","Agricult.Products, Total","653","Food wastes","1","","230700, 230990","230700, 230990","39170.01"
"1882","Agricult.Products, Total","641","Forage and silage, alfalfa","1","","121490","121490","01912"
"1882","Agricult.Products, Total","640","Forage and silage, clover","1","","121490","121490","01919.03"
"1882","Agricult.Products, Total","639","Forage and silage, grasses nes","1","","121490","121490","01919.91"
"1882","Agricult.Products, Total","643","Forage and silage, legumes","1","","121490","121490","01919.92"
"1882","Agricult.Products, Total","636","Forage and silage, maize","1","","121490","121490","01911"
"1882","Agricult.Products, Total","651","Forage products","1","","121490","121490","01919.96"
"1882","Agricult.Products, Total","166","Fructose and syrup, other","1","","170260","170260","23210.03"
"1882","Agricult.Products, Total","512","Fruit, citrus nes","1","","080590","080590","01329"
"1882","Agricult.Products, Total","626","Fruit, cooked, homogenized preparations","1","","200710","200710","23991.03"
"1882","Agricult.Products, Total","620","Fruit, dried nes","1","","081330, 081340, 081350","081330, 081340, 081350","21419.99"
"1882","Agricult.Products, Total","619","Fruit, fresh nes","1","","081090","081090","01359.90"
"1882","Agricult.Products, Total","623","Fruit, prepared nes","1","","081110, 081120, 081190, 081210, 081290, 081400, 200190, 200791, 200799, 200830, 200840, 200850, 200860, 200870, 200880, 200891, 200892, 200899","081110, 081120, 081190, 081210, 081290, 081400, 200190, 200791, 200799, 200830, 200840, 200850, 200860, 200870, 200880, 200891, 200893, 200897, 200899","F0623"
"1882","Agricult.Products, Total","541","Fruit, stone nes","1","","081090","081090","01349.20"
"1882","Agricult.Products, Total","604","Fruit, tropical dried nes","1","","080300, 080430, 080440, 080450, 081340, 081350","080300, 080430, 080440, 080450, 081340, 081350","21419.91"
"1882","Agricult.Products, Total","603","Fruit, tropical fresh nes","1","","080450, 081060, 081090","080450, 081060, 081090","01319"
"1882","Agricult.Products, Total","625","Fruits, nuts, peel, sugar preserved","1","","200600","200600","23670.02"
"1882","Agricult.Products, Total","406","Garlic","1","","070320","070320","01252"
"1882","Agricult.Products, Total","1072","Geese and guinea fowls","1","","010519, 010599","010514, 010599","02153"
"1882","Agricult.Products, Total","57","Germ, maize","1","","110430","110430","23140.06"
"1882","Agricult.Products, Total","19","Germ, wheat","1","","110430","110430","23140.01"
"1882","Agricult.Products, Total","953","Ghee, buffalo milk","1","","040590","040590","22242.02"
"1882","Agricult.Products, Total","887","Ghee, butteroil of cow milk","1","","040590","040590","22241.02"
"1882","Agricult.Products, Total","720","Ginger","1","","091010","091011, 091012","01657"
"1882","Agricult.Products, Total","172","Glucose and dextrose","1","","170230, 170240","170230, 170240","23210.05"
